,profile_linkedin_id,rank_order,similarity_degree,user_url
7,ACoAAADMnBgBOtojMfi_rnoQmepQ7soO6iQfdo0,7,1.2595096920658568,https://www.linkedin.com/in/matthieu-pinard-mtl
86,ACoAAAB6eBQBq-dr5TqkqwvC8IkQ4jGILDZ08v4,86,1.2590869302065286,https://www.linkedin.com/in/ledebugger
91,ACoAAAEeJhMBl2DrgcKWXABOB1yetYNM_zA6nTs,91,1.2564189882223962,https://www.linkedin.com/in/ningbhattacharjee
26,ACoAAANzp5YBsSdBkXKLqLgz6q0Tx3iz5zJ9CAo,26,1.2549763947407127,https://www.linkedin.com/in/rbouhdid
11,ACoAAAPe4K4Bov5zss69_VhtZdBhGNJtVM1HRZI,11,1.2522967264616705,https://www.linkedin.com/in/allynoor
42,ACoAAAA59fcBy4ahbw_FR_oBfErBbu9gXXQLOEk,42,1.252134344220343,https://www.linkedin.com/in/tkwilliamson
84,ACoAAACHghsBGVApNodF3r7VTr09K11NmISGJFY,84,1.251674976029318,https://www.linkedin.com/in/barnali-banerji-337b832
13,ACoAAAMCSQABf9cCKiVD722zwx5D-wjRJxjBEY8,13,1.2509368933300584,https://www.linkedin.com/in/vicki-sloot
18,ACoAAACqD8IBpoxLNVvSujHZFRPq8GJDEa9ZDRE,18,1.2497262989218691,https://www.linkedin.com/in/sameer-ahmed-8aa8953
68,ACoAAANw_XoBepJ_0zlTQOmYnSAWRWNQ4q6GPQU,68,1.2488398732995907,https://www.linkedin.com/in/rod-ramos-product-manager
0,ACoAACZut2IBUHs2LHaOHmqiu8vVWSp3APzBXrk,0,1.2481661838847269,https://www.linkedin.com/in/yuejiao21
24,ACoAABjKLa0BOfAXJq8wPrlyNbdlq52OmI7U7U0,24,1.246323946148087,https://www.linkedin.com/in/claudine-audet
98,ACoAAAAbjdMBzDJVvaqh2DcBwJoXK_FXkl4uXno,98,1.2446687021599339,https://www.linkedin.com/in/nlimare
82,ACoAAABtbQMB88Rr6Z5eE-go6Gw_jwpu61QY3g8,82,1.2407050382672296,https://www.linkedin.com/in/sudeepvictor
50,ACoAAADzFsMBDf6r_BzqH5s8st-vWre0QCcRCO8,50,1.2391724242122646,https://www.linkedin.com/in/sheelagh
5,ACoAAABjGoYB0oBGwCF4THAOyqao5aXBofp7Frw,5,1.2368491612047527,https://www.linkedin.com/in/kamlau
97,ACoAAAFGcDABgn8PoAoLc3ESGDg_AHk4zdVV5-Y,97,1.2310086890170355,https://www.linkedin.com/in/avinashnagendra
